est,lower,upper,metric,model_name
0.188,0.185,0.19,aprev,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.063,0.061,0.064,tprev,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.728,0.717,0.74,se,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.848,0.846,0.851,sp,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.841,0.838,0.843,diag.acc,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.788,0.781,0.795,balanced.acc,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
14.992,14.126,15.912,diag.or,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.006,0.006,0.006,nnd,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.577,0.563,0.59,youden,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.242,0.236,0.249,ppv,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.979,0.978,0.98,npv,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
4.799,4.696,4.905,plr,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.32,0.307,0.334,nlr,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_1060
0.191,0.188,0.193,aprev,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.063,0.061,0.064,tprev,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.739,0.727,0.75,se,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.846,0.844,0.848,sp,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
0.839,0.837,0.842,diag.acc,BHBA_IR_FD.EMR_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_EMR212_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_216
