"","Overall","variable","model_name"
"FAF1_TFA_7x0x0",100,"FAF1_TFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"`FAF2_C14-0_7x0x0`",90.559,"`FAF2_C14-0_7x0x0`","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF1_PUFA_7x0x0",59.116,"FAF1_PUFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"`FAF2_C18-0_7x0x0`",51.838,"`FAF2_C18-0_7x0x0`","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF3_De_novo_origin_2x0x0",33.567,"FAF3_De_novo_origin_2x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF2_SCFA_7x0x0",33.086,"FAF2_SCFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF3_Mixed_origin_2x0x0",29.191,"FAF3_Mixed_origin_2x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF2_MCFA_7x0x0",25.664,"FAF2_MCFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF2_LCFA_7x0x0",18.842,"FAF2_LCFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF1_MUFA_7x0x0",18.585,"FAF1_MUFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF1_SFA_7x0x0",15.745,"FAF1_SFA_7x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"`FAF2_C16-0_7x0x0`",6.224,"`FAF2_C16-0_7x0x0`","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"`FAF2_C18-1_7x0x0`",5.775,"`FAF2_C18-1_7x0x0`","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"CALVING_NOHeifer",4.516,"CALVING_NOHeifer","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF3_Preformed_origin_2x0x0",0.854,"FAF3_Preformed_origin_2x0x0","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"DIM",0.067,"DIM","var_imp_BHBA_FAF_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_18"
"FAF1_MUFA_7x0x01",100,"FAF1_MUFA_7x0x0","var_imp_BHBA_FAF1_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_8"
"CALVING_NOHeifer1",19.137,"CALVING_NOHeifer","var_imp_BHBA_FAF1_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_8"
"MILK_YIELD",1.299,"MILK_YIELD","var_imp_BHBA_FAF1_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_8"
"FAF1_SFA_7x0x01",0.08,"FAF1_SFA_7x0x0","var_imp_BHBA_FAF1_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.No_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9660_8"
"`FAF2_C18-1_7x0x0`1",100,"`FAF2_C18-1_7x0x0`","var_imp_BHBA_FAF2_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_12"
"FAF2_LCFA_7x0x01",91.14,"FAF2_LCFA_7x0x0","var_imp_BHBA_FAF2_Raw_EMR.NONE_Cow.Yes_Breed.No_MilkME.Yes_AllWN_incl.HighCorr_noFeatExt_SMOTE200_pp.cs_GLMNET_9442_12"
